Date,Description,Amount,Balance
12/03/2025,FD YS WONG        Mortgage,-1020.47,1568.37
12/03/2025,FD YS WONG        Food,-600.00,2588.84
12/03/2025,SAINSBURYS S/MKTS LOWHALL 0433,-36.20,3188.84
12/03/2025,THE HOLLY TRAIL CALONDON  E4 7,-7.05,3225.04
12/03/2025,The Brownswood    London,-4.90,3232.09
12/03/2025,RINGGO PARKING    MYRINGGO.COUK,-3.00,3236.99
12/03/2025,PAYPAL PAYMENT,-22.49,3239.99
11/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-4.40,3262.48
10/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-4.20,3266.88
10/03/2025,SAINSBURYS S/MKTS LONDON,-42.74,3271.08
10/03/2025,WAITROSE 780      ISLINGTON LON,-8.95,3313.82
10/03/2025,SumUp  *Kaja PeersLondon,-62.00,3322.77
10/03/2025,Ding Tea Angel    London,-9.90,3384.77
10/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-12.40,3394.67
10/03/2025,LS THE CASTLE CAFELONDON,-11.10,3407.07
10/03/2025,BILLS - RICHMOND  RICHMOND,-88.00,3418.17
10/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-3.10,3506.17
10/03/2025,NISA LOCAL        STANMORE,-6.00,3509.27
07/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-6.15,3515.27
06/03/2025,SAINSBURYS S/MKTS LOWHALL 0433,-52.70,3521.42
06/03/2025,FIRST DIRECT VISA,-107.12,3574.12
06/03/2025,THAMES WATER,-57.00,3681.24
05/03/2025,AVIVA,-14.70,3738.24
04/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-4.40,3752.94
04/03/2025,SumUp  *Coffee JoiLondon,-4.90,3757.34
04/03/2025,amazon.co.uk*R261G353-12477661,-3.49,3762.24
04/03/2025,PAYPAL PAYMENT,-10.99,3765.73
03/03/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-8.00,3776.72
03/03/2025,Oseyo             Angel,-15.00,3784.72
03/03/2025,SAINSBURYS S/MKTS LONDON,-16.90,3799.72
03/03/2025,Zettle_*TSUJIRI ChLondon,-13.20,3816.62
03/03/2025,Mrs Bakery        London,-5.40,3829.82
03/03/2025,LS THE CASTLE CAFELONDON,-2.97,3835.22
03/03/2025,SQ *BLANK STREET ULondon,-6.80,3838.19
03/03/2025,SAINSBURYS S/MKTS LOWHALL 0433,-53.28,3844.99
03/03/2025,SumUp  *Coffee JoiLondon,-7.40,3898.27
03/03/2025,OCTOPUS,-265.14,3905.67
03/03/2025,GOCARDLESS,-118.00,4170.81
28/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-10.00,4288.81
28/02/2025,Zettle_*Nagare CofLondon,-12.80,4298.81
27/02/2025,SAINSBURYS S/MKTS LOWHALL 0433,-67.73,4311.61
27/02/2025,Tesla Inc.        West Drayton,-16.20,4379.34
26/02/2025,INT'L 1496959661  BACKBLAZE INC     SAN MATEO         USD 10.80 @ 1.2602MAS Rate,-8.57,4395.54
26/02/2025,The Brownswood    London,-4.90,4404.11
26/02/2025,eBay O*15-12749-28INTERNET,-38.43,4409.01
26/02/2025,VIRGIN MEDIA PYMTS,-74.25,4447.44
26/02/2025,EE LIMITED,-38.00,4521.69
25/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,4559.69
25/02/2025,VINEYARD ISLINGTONLONDON  N1,-13.60,4565.44
25/02/2025,GREATER ANGLIA    HALE N17 2008,-10.00,4579.04
24/02/2025,LOON FUNG LTD     LONDON N17,-6.33,4589.04
24/02/2025,The garden house  London,-34.50,4595.37
24/02/2025,SAINSBURYS S/MKTS LOWHALL 0433,-83.25,4629.87
24/02/2025,LS THE CASTLE CAFELONDON,-7.02,4713.12
21/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,4720.14
21/02/2025,SumUp  *Coffee JoiLondon,-5.00,4725.89
21/02/2025,SP BEASTMAKER     LANCASHIRE,-95.00,4730.89
21/02/2025,WWW.PUREBIO.CO.UK INTERNET,-92.15,4825.89
21/02/2025,AVIVA,-49.26,4918.04
20/02/2025,404758 31113879   INTERNAL TRANSFER,-2300.00,4967.30
20/02/2025,PAYSTREAM MY MAX 3,2236.99,7267.30
20/02/2025,PAYPAL PAYMENT,-6.65,5030.31
19/02/2025,PAYSTREAM MY MAX 3,5297.94,5036.96
19/02/2025,PAYPAL PAYMENT,-5.99,-260.98
19/02/2025,PAYPAL PAYMENT,-4.16,-254.99
18/02/2025,RUGBY  PRET A MANGRUGBY,-9.80,-250.83
18/02/2025,MOTO RUGBY  COSTA RUGBY,-10.00,-241.03
18/02/2025,M6 TOLL           LICHFIELD,-9.90,-231.03
18/02/2025,MARKS AND SPENCER WARWICKSHIRE,-0.90,-221.13
18/02/2025,Tesla Inc.        West Drayton,-19.19,-220.23
18/02/2025,amazon.co.uk*R80LW353-12477661,-0.99,-201.04
18/02/2025,PAYPAL PAYMENT,-11.99,-200.05
17/02/2025,MEIZ JAPANESE RESTPRESTON,-36.50,-188.06
17/02/2025,FISHERGATE SHOPPINPRESTON,-2.50,-151.56
17/02/2025,TESCO STORES 2370 PRESTON,-3.35,-149.06
17/02/2025,SQ *CAFAINE       Preston,-20.50,-145.71
17/02/2025,SAINSBURYS S/MKTS DARWEN,-10.80,-125.21
17/02/2025,RUGBY  PRET A MANGRUGBY,-3.90,-114.41
17/02/2025,MOTO RUGBY  COSTA RUGBY,-10.00,-110.51
17/02/2025,HOLIDAY INN EXPRESPRESTON,-6.50,-100.51
17/02/2025,SAINSBURYS S/MKTS LOWHALL 0433,-42.20,-94.01
17/02/2025,Tesla Inc.        West Drayton,-23.39,-51.81
17/02/2025,GOOGLE *Google One650-253-0000,-7.99,-28.42
17/02/2025,Tesla Inc.        West Drayton,-15.60,-20.43
17/02/2025,Tesla Inc.        West Drayton,-19.05,-4.83
17/02/2025,Tesla Inc.        West Drayton,-18.69,14.22
17/02/2025,FD YS WONG        Food,-500.00,32.91
17/02/2025,404758 31113879   INTERNAL TRANSFER,500.00,532.91
17/02/2025,INTEREST          TO 26JAN2025,-0.13,32.91
17/02/2025,SCOTTISH PROVIDENT,-72.54,33.04
14/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,105.58
14/02/2025,WAITROSE          HIGHBURY,-5.70,111.33
14/02/2025,The garden house  London,-26.30,117.03
14/02/2025,SumUp  *Coffee JoiLondon,-7.40,143.33
12/02/2025,SAINSBURYS S/MKTS LOWHALL 0433,-46.63,150.73
12/02/2025,COMPANIESHOUSE WEBCARDIFF,-34.00,197.36
12/02/2025,FD YS WONG        Food,-600.00,231.36
12/02/2025,FD YS WONG        Food,-886.30,831.36
12/02/2025,404758 31113879   INTERNAL TRANSFER,1486.30,1717.66
12/02/2025,PAYPAL PAYMENT,-22.49,231.36
11/02/2025,Prisilla.S-Cleaner30ChesnutRoad,-30.00,253.85
11/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,283.85
11/02/2025,SAINSBURYS S/MKTS LONDON,-13.65,289.60
10/02/2025,LOON FUNG LTD     LONDON N17,-17.78,303.25
10/02/2025,SAINSBURYS S/MKTS LOWHALL 0433,-150.18,321.03
10/02/2025,Myddleton Market  London,-7.20,471.21
07/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,478.41
07/02/2025,SAINSBURYS S/MKTS UPPER STREET,-3.10,484.16
07/02/2025,The garden house  London,-27.00,487.26
06/02/2025,HOUSE GOODS LTD   London,-11.99,514.26
05/02/2025,THAMES WATER,-57.00,526.25
05/02/2025,AIG LIFE LTD,-14.70,583.25
04/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,597.95
04/02/2025,COSTA COFFEE 43010LONDON,-4.50,603.70
03/02/2025,SAINSBURYS S/MKTS TOTTENHAM,-18.95,608.20
03/02/2025,LOON FUNG LTD     LONDON N17,-8.98,627.15
03/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-6.00,636.13
03/02/2025,LS THE CASTLE CAFELONDON,-7.80,642.13
03/02/2025,XI HOME DUMPLINGS LONDON,-69.36,649.93
03/02/2025,Yole              London,-5.45,719.29
03/02/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-6.00,724.74
03/02/2025,CLR*The Blue PostsLondon,-15.00,730.74
03/02/2025,C AND R CAFE RESTALONDON,-88.30,745.74
03/02/2025,FIRST DIRECT VISA,-79.02,834.04
03/02/2025,OCTOPUS,-265.14,913.06
03/02/2025,GOCARDLESS,-118.00,1178.20
01/02/2025,Oisin Mulvihill   OBAW6IGWZ0YSJND0Z,-100.00,1296.20
31/01/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-5.75,1396.20
31/01/2025,ASDA STORES       LONDON,-0.85,1401.95
31/01/2025,SAINSBURYS S/MKTS LONDON,-21.75,1402.80
31/01/2025,Myddleton Market  London,-5.00,1424.55
31/01/2025,ASDA STORE 4515   TOTTENHAM,-10.15,1429.55
30/01/2025,PAYPAL PAYMENT,-10.99,1439.70
29/01/2025,SAINSBURYS S/MKTS LOWHALL 0433,-80.53,1450.69
29/01/2025,RINGGO PARKING    HACKNEY,-8.70,1531.22
29/01/2025,INTENTIONAL SETS  LONDON,-100.00,1539.92
28/01/2025,Oisin Mulvihill   OBAKISU5ZEEGLXWYW,-150.00,1639.92
27/01/2025,INT'L 1460150827  BACKBLAZE INC     SAN MATEO         USD 10.80 @ 1.2342MAS Rate,-8.75,1789.92
27/01/2025,CHATEAU THE WINE FLONDON,-40.90,1798.67
27/01/2025,Wake cup club     London,-7.60,1839.57
27/01/2025,SAINSBURYS S/MKTS LOWHALL 0433,-86.24,1847.17
27/01/2025,TOMS FIELD CAMPSITSWANAGE,-20.00,1933.41
27/01/2025,VIRGIN MEDIA PYMTS,-74.25,1953.41
27/01/2025,EE LIMITED,-38.00,2027.66
24/01/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-4.00,2065.66
22/01/2025,ASDA STORES       LONDON,-3.25,2069.66
22/01/2025,SAINSBURYS S/MKTS LOWHALL 0433,-58.36,2072.91
22/01/2025,SumUp  *Coffee JoiLondon,-4.90,2131.27
22/01/2025,Tesla Inc.        West Drayton,-19.65,2136.17
22/01/2025,PAYPAL PAYMENT,-6.84,2155.82
21/01/2025,Prisilla.S-Cleaner30ChesnutRoad,-37.50,2162.66
21/01/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-4.00,2200.16
21/01/2025,WWW.AMAZON.* 983UXLONDON,-3.37,2204.16
21/01/2025,AMAZON* BR6JJ8TD5 LONDON,-28.00,2207.53
21/01/2025,AMAZON* IO48W4RQ5 LONDON,-57.00,2235.53
21/01/2025,AVIVA,-49.26,2292.53
