Date,Description,Amount,Balance
01/08/2025,FOURTH FLOOR 90 HI,2237.17,3541.93
01/08/2025,OCTOPUS,-265.14,1304.76
01/08/2025,GOCARDLESS,-118.00,1569.90
31/07/2025,Spuds at spurs    London,-25.00,1687.90
31/07/2025,SumUp  *Coffee JoiLondon,-8.10,1712.90
30/07/2025,Prisilla.S-Cleaner30ChesnutRoad,-30.00,1721.00
30/07/2025,PAYPAL PAYMENT,-12.99,1751.00
29/07/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-4.00,1763.99
28/07/2025,INT'L 1698928652  BACKBLAZE INC     SAN MATEO         USD 10.80 @ 1.3516MAS Rate,-7.99,1767.99
28/07/2025,LS ISMASH         LONDON,-129.00,1775.98
28/07/2025,SAINSBURYS S/MKTS LOWHALL 0433,-91.02,1904.98
28/07/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-6.20,1996.00
28/07/2025,CAFFE NERO TCR - WLONDON,-8.40,2002.20
28/07/2025,VIRGIN MEDIA PYMTS,-79.81,2010.60
28/07/2025,EE LIMITED,-39.50,2090.41
25/07/2025,Oisin Mulvihill   OBAFRFYWDU6JQBBVR,-645.00,2129.91
25/07/2025,FOURTH FLOOR 90 HI,1643.78,2774.91
24/07/2025,COSTA COFFEE 43010LONDON,-4.65,1131.13
23/07/2025,Oisin Mulvihill   OBA79FF51PLCC1AW9,-180.00,1135.78
23/07/2025,Prisilla.S-Cleaner30ChesnutRoad,-30.00,1315.78
23/07/2025,AVIVA,-36.61,1345.78
22/07/2025,Oisin Mulvihill   OBAXG3TGST4DO0BXG,-100.00,1382.39
22/07/2025,PAYPAL PAYMENT,-6.23,1482.39
21/07/2025,SAINSBURYS S/MKTS LOWHALL 0433,-82.73,1488.62
21/07/2025,Spuds at spurs    London,-33.00,1571.35
21/07/2025,Spuds at spurs    London,-2.00,1604.35
21/07/2025,TFL TRAVEL CH     TFL.GOV.UK/CP,-6.90,1606.35
21/07/2025,CAFFE NERO TCR - WLONDON,-4.00,1613.25
21/07/2025,Honest Burger WarrLondon,-45.98,1617.25
21/07/2025,Amazon.co.uk*RY4B5AMAZON.CO.UK,-3.44,1663.23
21/07/2025,FD YS WONG        support,-200.00,1666.67
18/07/2025,THE ROSE AND CROWNEgham,-114.68,1866.67
18/07/2025,FOURTH FLOOR 90 HI,1441.85,1981.35
18/07/2025,INTEREST          TO 26JUN2025,-0.50,539.50
18/07/2025,PAYPAL PAYMENT,-5.99,540.00
17/07/2025,UNIVERSITY HOSPITASOUTHAMPTON,-8.50,545.99
17/07/2025,Revolut**1991*    London,-100.00,554.49
17/07/2025,UBER   *TRIP      HELP.UBER.COM,-30.12,654.49
17/07/2025,Tesla Inc.        West Drayton,-21.35,684.61
17/07/2025,PAYPAL PAYMENT,-3.88,705.96
16/07/2025,GOOGLE *Google One650-253-0000,-7.99,709.84
16/07/2025,PAYPAL PAYMENT,-11.99,717.83
16/07/2025,SCOTTISH PROVIDENT,-72.54,729.82
15/07/2025,PARK WITH EASE    MANCHESTER,-5.00,802.36
14/07/2025,404758 31113879   INTERNAL TRANSFER,800.00,807.36
14/07/2025,CO-OP GROUP 160010SWANAGE,-5.30,7.36
14/07/2025,THE FISH PLAICE   SWANAGE BH19,-11.95,12.66
14/07/2025,The Fox Inn       Wareham,-24.80,24.61
14/07/2025,JUSTPARK          LONDON,-3.80,49.41
14/07/2025,CASTLE CLIMBING   LONDON,-79.00,53.21
14/07/2025,INTENTIONSETSUBS  OISINMULVIHILL,-100.00,132.21
